retailer_country,retailer_country_consolidated
Canada, Canada
Deutschland, Germany
France, France
Germany, Germany
Italy, Italy
N*therlands, Netherlands
Netherlands, Netherlands
Poland, Poland
Spain, Spain
U.S.A., United States
USA, United States
United Kingdom, United Kingdom
